id,type,award,thumb
C1314,Conference,Honorable Mention,
C1336,Conference,Honorable Mention,
C1309,Conference,Honorable Mention,
C1315,Conference,Honorable Mention,
C1386,Conference,Best Paper,
C1039,Conference,Best Paper,
C1206,Conference,Best Paper,
C1206,Conference,Nominee,
C1386,Conference,Nominee,
C1315,Conference,Nominee,
C1039,Conference,Nominee,
C1309,Conference,Nominee,
C1336,Conference,Nominee,
C1442,Conference,Nominee,
C1594,Conference,Nominee,
C1429,Conference,Nominee,
C1263,Conference,Nominee,
C1473,Conference,Nominee,
C1544,Conference,Nominee,
C1314,Conference,Nominee,
J1302,Journal,Honorable Mention,
J1244,Journal,Honorable Mention,
J1131,Journal,Best Paper,
J1327,Journal,Best Paper,
J1023,Journal,Best Paper,
J1331,Journal,Nominee,
J1089,Journal,Nominee,
J1302,Journal,Nominee,
J1087,Journal,Nominee,
J1244,Journal,Nominee,
J1310,Journal,Nominee,
J1023,Journal,Nominee,
J1072,Journal,Nominee,
J1327,Journal,Nominee,
J1131,Journal,Nominee,
PO1264,Poster,Honorable Mention,
PO1246,Poster,Honorable Mention,
C1179,Poster,Best Poster,
PO1215,Poster,Best Poster,
C1103,Poster,Nominee,
C1179,Poster,Nominee,
C1190,Poster,Nominee,
C1405,Poster,Nominee,
PO1103,Poster,Nominee,
PO1107,Poster,Nominee,
PO1167,Poster,Nominee,
PO1215,Poster,Nominee,
PO1246,Poster,Nominee,
PO1264,Poster,Nominee,
PO1286,Poster,Nominee,
PO1012,Demo,Best Demo,
PO1003,Demo,Honorable Mention,
PO1017,Demo,Honorable Mention,
UI1023,3DUI Contest,Best 3DUI,
UI1005,3DUI Contest,Nominee,
UI1023,3DUI Contest,Nominee,
UI1014,3DUI Contest,Nominee,
Xiaodan Hu,Ready Player 22,Winner,
Name,Dissertation,Best Dissertation,
