id,session,type,typeoriginal,title,discord-channel,url-ieeevr-explore
C1014,1.2,Conference,,Bullet Comments for 360&#176; Video,,
C1039,1.7,Conference,,Investigating how speech and motion realism influence the perceived personality of virtual characters and agents., ,
C1042,3.3,Conference,,"Exploring and Selecting Supershapes in Virtual Reality with Line, Quad, and Cube Shaped Widgets", ,
C1046,3.2,Conference,,The Virtual Production Studio Concept - An Emerging Game Changer in filmmaking, ,
C1052,1.5,Conference,,An improved augmented-reality method of inserting virtual objects into the scene with transparent objects, ,
C1059,1.8,Conference,,SivsFormer: Parallax-Aware Transformers for Single-image-based View Synthesis, ,
C1082,1.3,Conference,,Visual Fidelity Effects on Expressive Self-avatar in Virtual Reality: First Impressions Matter, ,
C1089,1.9,Conference,,Galea: A physiological sensing system for behavioral research in virtual environments, ,
C1098,3.1,Conference,,Do You Notice Me? How Bystanders Affect the Cognitive Load in Virtual Reality, ,
C1101,2.7,Conference,,Tapping with a Handheld Stick in VR: Redirection Detection Thresholds for Passive Haptic Feedback, ,
C1102,3.2,Conference,,Exploring the Design Space for Immersive Embodiment in Dance, ,
C1110,3.8,Conference,,Asymmetric Lateral Field-of-View Restriction to Mitigate Cybersickness During Virtual Turns, ,
C1145,2.7,Conference,,STROE: An Ungrounded String-Based Weight Simulation Device, ,
C1146,2.5,Conference,,The Influence of Environmental Lighting on Size Variations in Optical See-through Tangible Augmented Reality, ,
C1150,2.7,Conference,,LevelEd SR: A Substitutional Reality Level Design Workflow, ,
C1159,3.5,Conference,,Effects of Field of View on Dynamic Out-of-View Target Search in Virtual Reality, ,
C1168,3.2,Conference,,Mixed Reality Co-Design for Indigenous Culture Preservation &amp; Continuation, ,
C1172,3.1,Conference,,Empathic AuRea: Exploring the Effects of an Augmented Reality Cue for Emotional Sharing Across Three Face-to-Face Tasks, ,
C1176,3.7,Conference,,Foldable Spaces: An Overt Redirection Approach for Natural Walking in Virtual Reality, ,
C1178,1.4,Conference,,The Potential of VR-based Tactical Resource Planning on Spatial Data,,
C1198,1.3,Conference,,Within or Between? Comparing Experimental Designs for Virtual Embodiment Studies, ,
C1199,3.6,Conference,,Inducing Emotional Stress from the ICU Context in VR, ,
C1206,2.7,Conference,,Body Warping Versus Change Blindness Remapping: A Comparison of Two Approaches to Repurposing Haptic Proxies for Virtual Reality, ,
C1208,2.3,Conference,,Evaluating Visual Cues for Future Airborne Surveillance Using Simulated Augmented Reality Displays, ,
C1215,3.7,Conference,,Design and Evaluation of Travel and Orientation Techniques for Desk VR, ,
C1216,2.3,Conference,,Empirical Evaluation of Calibration and Long-term Carryover Effects of Reverberation on Egocentric Auditory Depth Perception in VR,,
C1223,3.5,Conference,,The Smell Engine: A system for artificial odor synthesis in virtual environments, ,
C1229,1.5,Conference,,Using Speech to Visualise Shared Gaze Cues in MR Remote Collaboration, ,
