id,workshop,title,authors
ReDigiTS-1,ReDigiTS,Lightweight Collision Detection Algorithm in Web3D Robot Simulation Platform,"Weiqiang Wang, Hantao Zhao, Jinyuan Ji"
ReDigiTS-2,ReDigiTS,DentalVerse: Interactive Metaverse Virtual Reality Implementation to train preclinical dental student psychomotor skill,"Markus Santoso, Sadie Crawford, Erica Del Hagen, Jiaming Du, Emily Husak, Zihang Liao, Markus Santoso, Cortino Sukotjo"
ReDigiTS-3,ReDigiTS,Investigating Lighting Quality in Office Workstations: A Combined Approach Utilizing Virtual Reality and Physical Workstations,"Roxana Jafarifiroozabadi, Piers MacNaughton, Alina Osnaga"
ReDigiTS-4,ReDigiTS,Designing VR training systems for children with attention deficit hyperactivity disorder (ADHD),"Ho Yan Kwan, Lang Lin, Conor Fahy, Jethro Shell, Shiqi Pang, Yongkang Xing"
ReDigiTS-5,ReDigiTS,"3D Reconstruction, Digital Twinning, and Virtual Reality: Architectural Heritage Applications","Marco Giorgio Bevilacqua, Andrea Giordano, Michele Russo, Roberta Spallone"
ReDigiTS-6,ReDigiTS,Application of LargeSpace for Investigating Pedestrians' Behaviors when Interacting with Autonomous Vehicles in Shared Spaces,"Andri Janto, Zhangyijing Chen, Takuro Kodama, Hiroaki Yano, Makoto Itoh"
ReDigiTS-7,ReDigiTS,Photogrammabot: An Autonomous ROS-Based Mobile Photography Robot for Precise 3D Reconstruction and Mapping of Large Indoor Spaces for Mixed Reality,"Soroosh Mortezapoor, Christian Schönauer, Julien Rüggeberg, Hannes Kaufmann"
ReDigiTS-8,ReDigiTS,Challenges of experimenting with Virtual Reality,"Krzysztof Szczurowski, Matt Smith"
ReDigiTS-9,ReDigiTS,Immersive Virtual Reality for Virtual and Digital Twins: A Literature Review to Identify State Of The Art and Perspectives,"Johanna Pirker, Enrica Loria, Saeed Safikhani, Andreas Künz, Sabrina Rosmann"
ReDigiTS-10,ReDigiTS,Developing a VR Simulator for Robotics Navigation and Human Robot Interactions employing Digital Twins,"Silas F. R. Alves, Alvaro Uribe-Quevedo, Delun Chen, Jon Morris, Sina Radmard"
ReDigiTS-11,ReDigiTS,Are you Seeing what I'm Seeing?: Perceptual Issues with Digital Twins in Virtual Reality,"Brian Adrian Flowers, Summer Rebensky"
ANIVAE-2022-1,ANIVAE-2022,A Cardboard-Based Virtual Reality Study on Self-Avatar Appearance and Breathing,"Dixuan Cui, Christos Mousas"
ANIVAE-2022-2,ANIVAE-2022,Virtual Veracity: Animated Documentaries and Mixed Realities,Nea Ehrlich
ANIVAE-2022-3,ANIVAE-2022,Towards AR for Large-Scale Robotics,"Johannes Braumann, Emanuel Gollob, Amir Bastan"
ANIVAE-2022-4,ANIVAE-2022,Behind the Curtains: Comparing Mozilla Hubs with Microsoft Teams in aGuided Virtual Theatre Experience,"J&uuml;rgen Hagler, Michael Lankes, Nils Gallist"
ANIVAE-2022-5,ANIVAE-2022,View-Adaptive Asymmetric Image Detail Enhancement for 360-degree Stereoscopic VR Content,Kin-Ming Wong
ANIVAE-2022-6,ANIVAE-2022,Digital Puppetry: Utilizing Extended Reality Technologies for Animations,"Milad Tousi, Katja Gallhuber, Michael Lankes"
