id,name,day,starttime,endtime,timezone,url,organiser,abstract,discordurl
ReDigiTS,"3D Reconstruction, Digital Twinning, and Simulation for Virtual Experiences (ReDigiTS)","Saturday, March 12",8:00,11:30,NZDT UTC+13,https://sites.google.com/view/redigits,Fabrizio Lamberti,"The aim of this workshop is to attract a collection of high-quality submissions reporting state-of-the-art research activities targeted to the next generation of immersive experiences, reporting the latest methodologies, applications, standards, evaluations, and&#47;or use cases for 3D reconstruction, digital twinning, and simulation for immersive experiences.Despite the pivotal role played by these research directions in the design and development of immersive experiences, they are only partially addressed in the topics of workshops organized in the previous editions of IEEE VR.    ",https://discord.com/channels/842181663248482334/951009682602999828
SIVE,Sonic Interaction in Virtual Environments,"Saturday, March 12",8:00,11:00,NZDT UTC+13,https://sive.create.aau.dk/,Michele Geronazzo,"The main goal of this workshop is to increase among the virtual reality community the awareness of the importance of sonic elements when designing virtual/augmented/mixed reality (VR/AR/MR) environments. We will also discuss how research in other related fields such as film sound theory, product sound design, sound and music computing, game sound design, and computer music can inform designers of VR/AR/MR environments. Moreover, the workshop will feature state-of-the-art research on the field of sound for VR/AR/MR environments.",https://discord.com/channels/842181663248482334/951009811309412352
ARES,ARES - Augmented Reality Enabling Superhuman Sports + Serious Games,"Saturday, March 12",8:00,11:00,NZDT UTC+13,https://wiki.tum.de/pages/viewpage.action?pageId=1003688592,Christian Eichhorn,"We want to bring together experts from different computing and engineering disciplines to overcome the barriers of complex AR game concepts and to enhance interactions with augmented objects in a playful way in two important research fields:<ul><li>The goal of Superhuman Sports is to surpass the limitations of the human body by incorporating technology. Cognitive and physical capabilities are augmented by involving rich interactions through tangible and virtual game objects. Concepts of team sports based on competition and the exploration of new experiences through novel senses and reflexes, are helping to augment traditional sports or to path the way towards new game ideas.</li><li>Serious Games combine the world of playing games for entertainment with the goal of learning in an almost subconsciously manner. Combining these two approaches requires meeting the demands of both. Learning content must be presented correctly and coherently, but on the other hand, it must be perfectly integrated into a game concept.</li></ul>",https://discord.com/channels/842181663248482334/951010185609084958
SIVA,1<sup>st</sup> International Workshop on Socially Intelligent Virtual Agents (SIVA),"Saturday, March 12",8:00,11:00,NZDT UTC+13,https://sites.google.com/view/sivaieeevr2022,Susanne Schmidt,"The workshop aims at the presentation of projects with innovative ideas in the field of socially intelligent virtual agents and subsequent discussion of challenges emerging from these projects. In particular, the workshop will focus on individualized, social human-agent relationships enabled by recent advances in AI research. This will complement existing activities at IEEE VR that focus on either user-controlled avatars or the functional aspects of conversational agents.",https://discord.com/channels/842181663248482334/951010405738754130
OpenVR,Open Access Tools and Libraries for Virtual Reality,"Saturday, March 12",11:00,14:00,NZDT UTC+13,https://openvrlab.github.io/,Matias Volonte,"Virtual Reality technologies are growing fast, and so is the VR research community. In this scenario, it is more important than ever that academic research builds upon best practices and results to amplify impact in the broader field. Open-Source tools are one means to propagate best practice as they lower the barrier to entry for researchers from an engineering point of view, while also embodying the prior work on which the tools were built. Open access tools are also critical to eliminate redundancies and increase world research collaboration in VR. At a time that academic research is growing it also needs to move as fast as the industry, collaboration and shared tools is the best way to do it.  In this workshop, we will gather with creators and users of open-access libraries ranging from avatars (like the Microsoft Rocketbox avatar library) to animation to networking (Ubiq toolkit) to explore how open access tools are helping advance the VR community.",https://discord.com/channels/842181663248482334/951010620260626443
XRIOS,1<sup>st</sup> International Workshop on eXtended Reality for Industrial and Occupational Supports (XRIOS),"Saturday, March 12",11:00,15:00,NZDT UTC+13,https://sites.google.com/view/xrios2022,Heejin Jeong,"This workshop-eXtended Reality for Industrial and Occupational Supports (XRIOS)-aims to identify the current state of XR research and the gaps in the scope of human factors and ergonomics, mainly related to the industrial and occupational tasks, and discuss potential future research directions. XRIOS will build a community that bridges XR developers, human factors and ergonomics researchers interested in industrial and occupational applications.",https://discord.com/channels/842181663248482334/951010749780746270
EmpathicComputing,Empathic Computing,"Saturday, March 12",11:00,16:00,NZDT UTC+13,http://empathiccomputing.org/ecl-workshops/workshop-on-empathic-computing/,Arindam Dey,"The goal of this workshop is to present important research topics in Empathic Computing, collaborative AR/VR and related topics, and to identify key areas for the future research. It will hopefully contribute to growing thecommunity of researchers interested in Empathic Computing related research topics.",https://discord.com/channels/842181663248482334/951010883394494504
Data4XR,Data4XR: Datasets for Developing Intelligent XR Applications,"Saturday, March 12",14:00,17:00,NZDT UTC+13,https://sites.google.com/view/ieee-vr-data4xr/,Yuyang Wang,"Whenever AI researchers want to propose different data-driven models, datasets are the most fundamental resources. With easy access to standard datasets, they can develop state-of-the-art AI algorithms to achieve excellent prediction performance. However, when XR researchers decide to import these algorithms for developing intelligent immersive interactive applications, the lack of publicly available datasets arises as a challenge despite advanced AI algorithms being developed. </p><p> Many works related to datasets have been published, e.g., MINIST, ImageNet, CIFAR-10, etc. To unleash the full power of XR, the community also needs standard datasets for developing data-driven models with machine&#47;deep learning. The workshop on Datasets for Developing Intelligent XR Applications (Data4XR), hosted by the IEEE VR 2022, proposes a meaningful platform for domain researchers to find valuable resources and develop collaborations across labs. It aims to promote XR research by involving artificial intelligence.",https://discord.com/channels/842181663248482334/951010955389722635
ANIVAE-2022,5<sup>th</sup> IEEE VR Internal Workshop on Animation in Virtual and Augmented Environments (ANIVAE-2022),"Sunday, March 13",8:00,11:00,NZDT UTC+13,https://anivae.fhstp.ac.at/,Thomas Moser,"By encouraging synergies of interdisciplinary approaches, the workshop maps animation within the AVR context from different angles and creates new knowledge in this research field. ",https://discord.com/channels/842181663248482334/951011148042498068
TrainingXR,3<sup>rd</sup> Annual Workshop on 3D Content Creation for Simulated Training in eXtended Reality (TrainingXR),"Sunday, March 13",8:00,11:00,NZDT UTC+13,https://sites.google.com/view/trainingxrieeevr2022,Lap Fai (Craig) Yu,"This workshop discusses and articulates research visions on using the latest extended reality (VR/AR/MR) technologies for education and training purposes, and on creating immersive 3D virtual content for delivering effective and personalized training experiences. This workshop will gather researchers and practitioners in a variety of computer disciplines related to XR training and content creation. We will invite renowned speakers from the research community and the industry to give talks related to XR-based training to inspire the field to further explore this promising direction.",https://discord.com/channels/842181663248482334/951011289302433792
